ticker,name,market_cap
137310,에스디바이오센서,1040954822100
003160,디아이,1035780000000
187660,현대ADM,1035554943510
476060,온코닉테라퓨틱스,1034664712000
005690,파미셀,1034092289720
00088K,한화3우B,1032316261200
089970,브이엠,1031394113750
006730,서부T&D,1031039537240
131290,티에스이,1030925182800
057050,현대홈쇼핑,1027200000000
082920,비츠로셀,1026939154050
001510,SK증권,1016068867650
001270,부국증권,1000693999000
030190,NICE평가정보,995604806300
052400,코나아이,993216446200
348340,뉴로메카,992680725300
004490,세방전지,992376000000
108320,LX세미콘,988869440000
317450,명인제약,988420000000
064960,SNT모티브,983317077600
475150,SK이터닉스,982242622200
376900,로킷헬스케어,980409211400
358570,지아이이노베이션,976618032390
009450,경동나비엔,976095664000
100840,SNT에너지,963724487800
490470,세미파이브,949739340000
086900,메디톡스,942235962700
014620,성광벤드,940130685600
036810,에프에스티,936438242200
010780,아이에스동서,934286907200
000370,한화손해보험,930409152550
079160,CJ CGV,928915530510
086450,동국제약,924962089000
033240,자화전자,923569198200
295310,에이치브이엠,917638880100
002350,넥센타이어,917101365030
376300,디어유,916302471600
033100,제룡전기,913951072100
002020,코오롱,912572976000
248070,솔루엠,903726860400
241710,코스메카코리아,901392000000
322000,HD현대에너지솔루션,896000000000
420770,기가비스,894908514800
112040,위메이드,892845102900
060250,NHN KCP,877509350350
033500,동성화인텍,875693224800
093370,후성,873058386200
475960,토모큐브,872589464800
121600,나노신소재,871879037400
468530,프로티나,867500764000
102710,이엔에프테크놀로지,864414078000
003850,보령,863877174490
348210,넥스틴,862257511500
079900,전진건설로봇,860960155000
007700,F&F홀딩스,858560355650
102940,코오롱생명과학,849082195000
074600,원익QnC,847788000000
001060,JW중외제약,842950666000
078160,메디포스트,842898964500
009520,포스코엠텍,841182600600
126340,비나텍,841040129200
025540,한국단자,840556500000
003620,KG모빌리티,838844010240
001500,현대차증권,826707798280
399720,가온칩스,824789862000
114090,GKL,820824740900
486990,노타,816710349000
253590,네오셈,810702150720
067160,SOOP,810381073500
214320,이노션,800000000000
084110,휴온스글로벌,797568156000
456040,OCI,795876805500
005180,빙그레,795034489600
069260,TKG휴켐스,791000677800
130660,한전산업,790550000000
001680,대상,789974970000
042000,카페24,789436907700
383310,에코프로에이치엔,784462456800
090360,로보스타,783900000000
372320,큐로셀,783668477600
014820,동원시스템즈,782764614000
000640,동아쏘시오홀딩스,781757506400
225570,넥슨게임즈,781101663640
032500,케이엠더블유,779234278840
025980,아난티,776536195200
00104K,CJ4우(전환),772183742400
046890,서울반도체,770214334000
214430,아이쓰리시스템,770180461000
365340,성일하이텍,769498352700
287840,인투셀,761106372000
039130,하나투어,757457674800
000400,롯데손해보험,757220620800
448900,한국피아이엠,750557125000
005250,녹십자홀딩스,750099949500
023160,태광,744650000000
003545,대신증권우,743600000000
